Index,Task,EDD_Lmax,EDD_time,ERD_Lmax,ERD_time,Schrage_Lmax,Schrage_time,PreemptSchrage_Lmax,PreemptSchrage_time,Construction_Lmax,Construction_time,Carlier_Lmax,Carlier_time,LB,is_opt_EDD,avgE_EDD,avgE_ERD,avgE_Schrage,avgE_Construction,avgE_Carlier
84,data/100_Independent0084,2697,0.006961,3188,0.004759,2697,0.007299,2697,0.01297,2697,0.5862530000000000,2697,0.02082900000000000,2697,1,0.00%,18.21%,0.00%,0.00%,0.00%
85,data/100_Independent0085,2487,0.006909000000000000,3404,0.004847000000000000,2487,0.008148,2487,0.012962,2487,0.62396,2487,0.022783,2487,1,0.00%,36.87%,0.00%,0.00%,0.00%
86,data/100_Independent0086,2799,0.007747,3922,0.005015,2799,0.008445,2799,0.013439,2799,0.60331,2799,0.020843,2799,1,0.00%,40.12%,0.00%,0.00%,0.00%
87,data/100_Independent0087,2571,0.007094,3647,0.004842000000000000,2571,0.007611,2571,0.012801,2571,0.5886570000000000,2571,0.02113,2571,1,0.00%,41.85%,0.00%,0.00%,0.00%
88,data/100_Independent0088,2618,0.007393,3424,0.00495,2618,0.007974,2618,0.01285900000000000,2618,0.59125,2618,0.023747,2618,1,0.00%,30.79%,0.00%,0.00%,0.00%
89,data/100_Independent0089,2458,0.00764,3546,0.004862000000000000,2458,0.007952,2458,0.013568,2458,0.59045,2458,0.020998,2458,1,0.00%,44.26%,0.00%,0.00%,0.00%
90,data/100_Independent0090,1248,0.007771,3487,0.004663,1248,0.008353,1248,0.013005,1248,0.58590,1248,0.021598,1248,1,0.00%,179.41%,0.00%,0.00%,0.00%
91,data/100_Independent0091,1150,0.007184000000000000,2776,0.004841000000000000,1150,0.008007,1150,0.013997,1150,0.5891,1150,0.022119,1150,1,0.00%,141.39%,0.00%,0.00%,0.00%
92,data/100_Independent0092,1240,0.007333,3474,0.004967,1240,0.00836900000000000,1240,0.01301700000000000,1240,0.58967,1240,0.02127200000000000,1240,1,0.00%,180.16%,0.00%,0.00%,0.00%
93,data/100_Independent0093,1358,0.007488,3281,0.005293000000000000,1358,0.009724,1358,0.014697,1358,0.5927380000000000,1358,0.022828,1358,1,0.00%,141.61%,0.00%,0.00%,0.00%
94,data/100_Independent0094,1348,0.007394,3557,0.004933000000000000,1348,0.007851000000000000,1348,0.01315300000000000,1348,0.60474,1348,0.021644,1348,1,0.00%,163.87%,0.00%,0.00%,0.00%
95,data/100_Independent0095,1316,0.007514,3169,0.005115000000000000,1316,0.008325,1316,0.013731,1316,0.6060570000000000,1316,0.028083,1316,1,0.00%,140.81%,0.00%,0.00%,0.00%
96,data/100_Independent0096,1313,0.008222,3431,0.00503,1313,0.008605,1313,0.019980,1313,0.59199,1313,0.02341200000000000,1313,1,0.00%,161.31%,0.00%,0.00%,0.00%
97,data/100_Independent0097,1384,0.007196000000000000,3969,0.004726,1384,0.008233,1384,0.01291000000000000,1384,0.59375,1384,0.02205800000000000,1384,1,0.00%,186.78%,0.00%,0.00%,0.00%
98,data/100_Independent0098,1309,0.00779,3571,0.004928000000000000,1309,0.008403,1309,0.012968,1309,0.59619,1309,0.02317400000000000,1309,1,0.00%,172.80%,0.00%,0.00%,0.00%
99,data/100_Independent0099,1242,0.007056000000000000,3271,0.004953,1242,0.008626999999999999,1242,0.013267,1242,0.6028520000000001,1242,0.021721,1242,1,0.00%,163.37%,0.00%,0.00%,0.00%
100,data/100_Independent0100,34,0.00758,3297,0.005020000000000000,34,0.008338999999999999,34,0.01329,34,0.6060030000000000,34,0.021791,34,1,0.00%,9597.06%,0.00%,0.00%,0.00%
101,data/100_Independent0101,57,0.007331,3252,0.004538,57,0.008288,57,0.013506,57,0.59956,57,0.022400,57,1,0.00%,5605.26%,0.00%,0.00%,0.00%
102,data/100_Independent0102,104,0.007554,3715,0.004870000000000000,104,0.009000,104,0.01350000000000000,104,0.59924,104,0.023,104,1,0.00%,3472.12%,0.00%,0.00%,0.00%
103,data/100_Independent0103,122,0.007382,3292,0.004901000000000000,122,0.008170,122,0.014032,122,0.59779,122,0.02289500000000000,122,1,0.00%,2598.36%,0.00%,0.00%,0.00%
104,data/100_Independent0104,108,0.007194,3161,0.00489,108,0.008614,108,0.01387500000000000,108,0.6279,108,0.023711,108,1,0.00%,2826.85%,0.00%,0.00%,0.00%
105,data/100_Independent0105,43,0.007579,2743,0.004815,43,0.008225,43,0.014842,43,0.61483,43,0.022013,43,1,0.00%,6279.07%,0.00%,0.00%,0.00%
106,data/100_Independent0106,110,0.007186000000000000,3458,0.012502,110,0.008545,110,0.012986,110,0.61068,110,0.02697400000000000,110,1,0.00%,3043.64%,0.00%,0.00%,0.00%
107,data/100_Independent0107,32,0.007479,3511,0.00472,32,0.008262,32,0.01365900000000000,32,0.5857750000000000,32,0.022341,32,1,0.00%,10871.88%,0.00%,0.00%,0.00%
108,data/100_Independent0108,57,0.007339,3616,0.004974,57,0.008076,57,0.013295,57,0.6093020000000000,57,0.022212,57,1,0.00%,6243.86%,0.00%,0.00%,0.00%
109,data/100_Independent0109,86,0.007644,2892,0.004691,86,0.008426,86,0.01325200000000000,86,0.64183,86,0.022129,86,1,0.00%,3262.79%,0.00%,0.00%,0.00%
110,data/100_Independent0110,-455,0.0075,2871,0.005473000000000000,-455,0.008371000000000000,-455,0.013559,-455,0.60389,-455,0.022751,-455,1,0.00%,730.99%,0.00%,0.00%,0.00%
111,data/100_Independent0111,-657,0.007220,3151,0.004964,-657,0.008352999999999999,-657,0.013091,-657,0.58382,-657,0.02138100000000000,-657,1,0.00%,579.60%,0.00%,0.00%,0.00%
112,data/100_Independent0112,-1014,0.007206000000000000,2988,0.004621,-1014,0.008100,-1014,0.01329,-1014,0.60846,-1014,0.02165,-1014,1,0.00%,394.67%,0.00%,0.00%,0.00%
113,data/100_Independent0113,-1185,0.007292000000000000,3255,0.004705,-1185,0.008276,-1185,0.01325700000000000,-1185,0.6035,-1185,0.02213,-1185,1,0.00%,374.68%,0.00%,0.00%,0.00%
114,data/100_Independent0114,-738,0.007218,2475,0.004576,-738,0.008042,-738,0.01319,-738,0.6123580000000000,-738,0.021332,-738,1,0.00%,435.37%,0.00%,0.00%,0.00%
115,data/100_Independent0115,-826,0.00708,3423,0.004658,-826,0.008487,-826,0.013191,-826,0.60469,-826,0.02177,-826,1,0.00%,514.41%,0.00%,0.00%,0.00%
116,data/100_Independent0116,-1033,0.007123000000000000,2696,0.00466,-1033,0.007755,-1033,0.013610,-1033,0.61438,-1033,0.022118,-1033,1,0.00%,360.99%,0.00%,0.00%,0.00%
117,data/100_Independent0117,-794,0.00757,3313,0.00534,-794,0.008496999999999999,-794,0.01331100000000000,-794,0.63740,-794,0.021707,-794,1,0.00%,517.25%,0.00%,0.00%,0.00%
118,data/100_Independent0118,-585,0.007555,2953,0.005221,-585,0.007850,-585,0.0139,-585,0.6032690000000001,-585,0.022135,-585,1,0.00%,604.79%,0.00%,0.00%,0.00%
119,data/100_Independent0119,-1067,0.007022,3317,0.004634000000000000,-1067,0.008103,-1067,0.013224,-1067,0.63006,-1067,0.022211,-1067,1,0.00%,410.87%,0.00%,0.00%,0.00%
120,data/100_Independent0120,-1332,0.00721,2946,0.004916000000000000,-1332,0.008545,-1332,0.01398900000000000,-1332,0.61258,-1332,0.02195000000000000,-1332,1,0.00%,321.17%,0.00%,0.00%,0.00%
121,data/100_Independent0121,-1172,0.007254,3723,0.005290,-1172,0.007826,-1172,0.013086,-1172,0.6171340000000000,-1172,0.022116,-1172,1,0.00%,417.66%,0.00%,0.00%,0.00%
122,data/100_Independent0122,-1082,0.007424000000000000,3027,0.004812,-1082,0.008470,-1082,0.01399700000000000,-1082,0.96632,-1082,0.02163500000000000,-1082,1,0.00%,379.76%,0.00%,0.00%,0.00%
123,data/100_Independent0123,-1155,0.00715,2623,0.004803,-1155,0.007953000000000000,-1155,0.01306100000000000,-1155,0.59444,-1155,0.022799,-1155,1,0.00%,327.10%,0.00%,0.00%,0.00%
124,data/100_Independent0124,-1111,0.007248,3090,0.004745000000000000,-1111,0.00820400000000000,-1111,0.013375,-1111,0.59751,-1111,0.021900,-1111,1,0.00%,378.13%,0.00%,0.00%,0.00%
125,data/100_Independent0125,-1225,0.007401,2479,0.004913,-1225,0.007794,-1225,0.012980,-1225,0.6305,-1225,0.02183600000000000,-1225,1,0.00%,302.37%,0.00%,0.00%,0.00%
126,data/100_Independent0126,-763,0.007094,3239,0.004815,-763,0.007722,-763,0.014396,-763,0.61565,-763,0.021447,-763,1,0.00%,524.51%,0.00%,0.00%,0.00%
127,data/100_Independent0127,-1389,0.007653,2470,0.004934,-1389,0.008020,-1389,0.013533,-1389,0.60936,-1389,0.02191000000000000,-1389,1,0.00%,277.83%,0.00%,0.00%,0.00%
128,data/100_Independent0128,-1204,0.007280000000000000,3171,0.004874000000000000,-1204,0.008101,-1204,0.01275900000000000,-1204,0.60917,-1204,0.02213,-1204,1,0.00%,363.37%,0.00%,0.00%,0.00%
129,data/100_Independent0129,-1255,0.007166000000000000,3750,0.004810000000000000,-1255,0.007660,-1255,0.014931,-1255,0.6348980000000000,-1255,0.023035,-1255,1,0.00%,398.80%,0.00%,0.00%,0.00%
130,data/100_Independent0130,2693,0.005017,2693,0.004845000000000000,2693,0.006427,2693,0.01191600000000000,2693,1.39121,2693,0.018568,2693,1,0.00%,0.00%,0.00%,0.00%,0.00%
131,data/100_Independent0131,2724,0.005296,2724,0.004805,2724,0.006290,2724,0.011717,2724,0.6879820000000000,2724,0.018414,2724,1,0.00%,0.00%,0.00%,0.00%,0.00%
132,data/100_Independent0132,2540,0.005023,2540,0.004761,2540,0.006390,2540,0.011468,2540,0.72659,2540,0.018073,2540,1,0.00%,0.00%,0.00%,0.00%,0.00%
133,data/100_Independent0133,2229,0.004579000000000000,2229,0.004672,2229,0.006142,2229,0.010951,2229,0.63434,2229,0.01858800000000000,2229,1,0.00%,0.00%,0.00%,0.00%,0.00%
134,data/100_Independent0134,2139,0.004884000000000000,2139,0.004634,2139,0.005941,2139,0.01150800000000000,2139,0.63381,2139,0.017654,2139,1,0.00%,0.00%,0.00%,0.00%,0.00%
135,data/100_Independent0135,2570,0.004973,2570,0.005149,2570,0.006235000000000000,2570,0.011669,2570,0.63579,2570,0.018,2570,1,0.00%,0.00%,0.00%,0.00%,0.00%
136,data/100_Independent0136,2565,0.005475000000000000,2565,0.004897,2565,0.006069000000000000,2565,0.010948,2565,0.64874,2565,0.01801000000000000,2565,1,0.00%,0.00%,0.00%,0.00%,0.00%
137,data/100_Independent0137,2713,0.0048,2713,0.004890000000000000,2713,0.006732,2713,0.011368,2713,0.6426690000000000,2713,0.018938,2713,1,0.00%,0.00%,0.00%,0.00%,0.00%
138,data/100_Independent0138,2409,0.004933,2409,0.004817000000000000,2409,0.006962,2409,0.011197,2409,0.6299010000000000,2409,0.017656,2409,1,0.00%,0.00%,0.00%,0.00%,0.00%
139,data/100_Independent0139,2589,0.004796000000000000,2589,0.004695000000000000,2589,0.006090,2589,0.018462,2589,0.6786110000000000,2589,0.018455,2589,1,0.00%,0.00%,0.00%,0.00%,0.00%
